Article_Title,English,Vietnamese,Source
Secrets to making crispy french fries,"Applying the “double-frying” technique combined with a cooling step helps alter the starch structure, turning homemade fries crispy, golden, and long-lasting, just like those sold in restaurants.","Áp dụng kỹ thuật chiên ‘hai lần lửa’ kết hợp làm lạnh giúp cấu trúc tinh bột thay đổi, biến món khoai tây chiên tại nhà giòn rụm, vàng óng và lâu ỉu như ngoài hàng.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"Many people wonder why homemade fries often become soft and soggy after just a few minutes, while restaurant fries stay crispy for much longer.","Nhiều người thắc mắc vì sao khoai tây chiên tại nhà thường nhanh mềmỉu chỉ sau vài phút, trong khi ngoài hàng lại giữ được độ giòn rụm rất lâu.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"The reason is that fresh potatoes contain a large amount of water (about 80%), along with a network of starch and pectin (a natural binding agent that holds cell walls together). If you cut the potatoes and fry them immediately at high heat, the outer layer will quickly brown or burn, while the moisture inside has not yet escaped. After removing them from the pan, steam from the core rises and seeps back into the crust, breaking the newly formed outer layer and making the fries soggy.","Lý do là khoai tây tươi chứa lượng nước lớn (khoảng 80%) cùng mạng lưới tinh bột và pectin (chất keo tự nhiên kết dính thành tế bào). Nếu thái khoai và đem chiên ở nhiệt độ cao ngay lập tức, vỏ ngoài sẽ nhanh chóng cháy sém nhưng hơi ẩm bên trong chưa kịp thoát ra. Sau khi vớt ra đĩa, hơi nước từ lõi bốc lên, thấm ngược ra lớp vỏ ngoài phá vỡ lớp vỏ vừa hình thành khiến khoai mềm ỉu.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"To overcome this, many chefs apply the “double-frying” technique combined with an intermediate cooling step, based on the principle of changing the starch structure.","Để khắc phục, nhiều đầu bếp áp dụng kỹ thuật chiên “hai lần lửa” kết hợp một bước làm lạnh đệmở giữa, dựa trên nguyên lý thay đổi cấu trúc tinh bột.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"The first frying stage is essentially the process of cooking the inner part, allowing the starch to absorbwater and begin gelatinization. A moderate temperature breaks down the pectin structure, softening the potato from the inside without burning the outer layer. After this stage, the fries are cooked but still have a loose structure and a pale color.","Lần một: Chiên lửa nhỏ
Lần chiên đầu tiên thực chất là quá trình làm chín phần lõi, giúp tinh bột ngậmnước và bắt đầu quá trình hồ hóa (gelatin hóa). Nhiệt độ vừa phải làm đứt gãy cấu trúc pectin, giúp miếng khoai mềm ra từ bên trong mà không cháy vỏ ngoài. Sau lần chiên này, khoai chín nhưng kết cấu còn lỏng lẻo và màu nhạt.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"After removing the fries from the first fry, restaurants often let them cool completely or even freeze them. This is the crucial step for achieving crispiness that home kitchens often skip. Under low temperatures, the amylosegel layer contracts and restructures into a more stable network. At the same time, the cold and dry environment helps remove excess surface moisture, creating a dry outer layer.","Bước đệm: Làm lạnh rút ẩm
Sau khi vớt khoai ở lửa một, các nhà hàng thường làm nguội hoàn toàn hoặc thậm chí cấp đông. Đây là bước quyết định độ giòn mà gian bếp gia đình thường bỏ qua. Dưới tác động của nhiệt độ thấp, lớp keo amylose trong khoai co lại và tái cấu trúc thành một mạng lưới vững chắc. Đồng thời, môi trường lạnh và khô giúp hút bớt nước dư thừa trên bề mặt, tạo một lớp màng khô ráo.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"When the cooled fries are dropped into hot oil, the large temperature difference causes the surface moisture to evaporate rapidly, puncturing the outer layer and forming tinypores. The hot oil immediately fills these spaces, drawing out moisture from the starch network.","Lần hai: Chiên dầu nóng già
Khi thả phần khoai đã làm lạnh vào chảo dầu đang sôi, sự chênh lệch nhiệt độ lớn khiến lượng nước sát bề mặt bốc hơi ồ ạt, đâm thủng lớp ngoài tạo thành các lỗ rỗngli ti. Dầu nóng lập tức tràn vào, rút cạn độ ẩm của mạng lưới tinh bột.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Secrets to making crispy french fries,"With sudden dehydration at high temperatures, the starch transitions into a “glassy” crispy state. At the same time, the Maillard reaction occurs, giving the outer layer its golden color. This crust becomes firm enough to act as a perfect barrier, locking moisture inside and preventing it from seeping back out, allowing the fries to stay crispy for longer.","Bị mất nước đột ngột ở nhiệt độ cao, tinh bột chuyển sang trạng thái “thủy tinh” giòn tan. Cùng lúc đó, phản ứng hóa học Maillard diễn ra giúp lớp áo ngoài chuyển màu vàng óng. Lớp vỏ này đủ cứng cáp để trở thành rào cản hoàn hảo, khóa chặt hơi ẩm từ lõi không cho thấm ngược ra ngoài, giúp miếng khoai giữ độ giòn rụm lâu hơn.",https://readtoolead.com/secrets-to-making-crispy-french-fries
Why does the Middle East have so much oil?,Geological processes lasting millions of years have enabled the Middle East today to possess vast oil reserves that are easy to extract at low cost.,"Những quá trình địa chất kéo dài hàng triệu năm giúp Trung Đông ngày nay sở hữutrữ lượng dầu mỏ lớn, dễ khai thác với chi phí thấp.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
Why does the Middle East have so much oil?,"Oil was first commercially discovered in the Middle East in 1908, when a 24-meter oil gushererupted at Masjid Suleiman in Persia (now southwestern Iran). According to the International Energy Agency, the Middle East currently possesses some of the lowest-cost oil and gas resources in the world. In 2024, the region supplied about 30% of global oil production and 17% of natural gas output, largely from Saudi Arabia, Iran, Iraq, and the United Arab Emirates.","Dầu mỏ được phát hiện thương mại lần đầu ở Trung Đông vào năm 1908, khi một cột dầuphun trào 24 m tại Masjid Suleiman ở Ba Tư (nay là tây nam Iran). Theo Cơ quan Năng lượng Quốc tế (IEA), Trung Đông hiện sở hữu nhiều nguồn dầu khí có chi phí khai thác thấp nhất thế giới. Năm 2024, nơi này cung cấp khoảng 30% sản lượng dầu và 17% sản lượng khí tự nhiên toàn cầu, phần lớn đến từ Arab Saudi, Iran, Iraq, UAE.",https://readtoolead.com/why-does-the-middle-east-have-so-much-oil
